name,host_id,host_name,host_since,host_since_years,Seasons,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,host_has_profile_pic,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Capitol Hill House / H St. Corridor,2534048,Greg,6/3/12,2012,4,0,1,1,0,1,72,Washington,DC,20002,14,0,8,1,7,2,3,4,Real Bed,239,3,0,0,300,125,5,$15.00 ,3,180,277,10/2/15,30,11/18/14,9/27/15,95,10,9,1,3,0,0,1,2.81
Library Suite for your DC stay,15945059,Alice,5/25/14,2014,4,0,1,1,0,1,72,Washington,DC,20002,14,0,8,2,2,1,1,1,Real Bed,72,2,460,1800,250,0,2,$12.00 ,4,1125,104,10/2/15,24,3/2/15,9/25/15,98,10,10,1,1,0,0,1,3.33
Cozy private room near H St.NE,36002659,Toska,6/16/15,2015,4,1,1,1,0,1,18,Washington,DC,20002,14,0,1,2,2,1,1,1,Real Bed,60,2,260,0,0,0,1,$5.00 ,1,5,339,10/3/15,23,6/28/15,9/27/15,94,9,9,1,3,0,0,1,7.04
Cozy Trinidad in-law suite,7777552,Sejal,7/28/13,2013,3,1,2,2,0,1,93,Washington,DC,20002,14,0,1,1,2,1,1,2,Real Bed,90,2,0,1800,200,60,2,$40.00 ,1,60,322,10/3/15,33,9/17/13,7/25/15,94,9,10,1,3,0,0,2,1.33
"H Street Hip, Union Station Solid ",1843195,Molly,3/2/12,2012,4,1,1,1,0,1,93,Washington,DC,20002,14,0,1,1,4,1,1,1,Real Bed,128,2,762,3000,100,35,2,$20.00 ,1,30,209,10/3/15,85,1/8/14,9/29/15,83,9,8,0,3,0,0,1,4.02
"Clean, Modern Apt in the Capital",3618096,Jacqueline,9/19/12,2012,4,1,2,2,0,1,18,Washington,DC,20002,14,0,1,1,4,1,2,2,Real Bed,150,2,900,0,100,0,4,$10.00 ,1,1125,363,10/3/15,2,7/24/15,9/23/15,60,10,4,1,3,0,0,2,0.83
"Clean, Modern Room in the Capital",3618096,Jacqueline,9/19/12,2012,0,1,2,2,0,1,18,Washington,DC,20002,14,0,1,2,2,1,1,1,Real Bed,75,2,500,0,100,0,2,$10.00 ,1,1125,363,10/3/15,0,0,0,0,0,0,1,3,0,0,2,0
Two bedroom in heart of Georgetown,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,5,2,2,3,Real Bed,350,4,0,4750,0,0,3,$15.00 ,2,1125,348,10/3/15,14,9/14/14,9/30/15,90,9,10,1,1,0,0,16,1.09
Gorgeous Georgetown Home 2BD+Prkg,3852427,Jimmy,10/12/12,2012,4,1,1,1,0,1,15,Washington,DC,20007,14,0,8,1,4,1,2,2,Real Bed,195,3,1425,5040,480,75,1,$0.00 ,1,1125,361,10/2/15,6,5/15/15,9/13/15,87,9,9,1,1,0,0,1,1.27
Georgetown Condo. Prime Location.#1,41047431,William,8/10/15,2015,0,1,6,6,0,1,48,Washington,DC,20007,14,0,1,1,1,1,0,1,Real Bed,95,2,0,2850,0,50,1,$0.00 ,5,1125,336,10/3/15,0,0,0,0,0,0,1,1,0,0,6,0
Beautiful Residence in Georgetown,21493494,Jordan,9/18/14,2014,4,1,2,2,0,1,48,Washington,DC,20007,14,0,8,1,6,3,3,3,Real Bed,350,4,2100,6750,250,150,6,$15.00 ,3,365,79,10/3/15,20,10/11/14,9/30/15,95,10,9,1,2,0,0,2,1.68
Private room in park side apartment,9943204,Jairo,11/11/13,2013,3,1,1,1,1,1,48,Washington,DC,20007,14,0,1,2,2,0,1,1,Real Bed,85,2,0,0,0,30,1,$30.00 ,3,1125,355,10/3/15,1,8/14/15,8/14/15,100,10,10,0,2,0,0,1,0.59
Georgetown's Chateau Bleu - Prv Rm2,1671809,Mary Beth,1/30/12,2012,2,1,7,7,0,1,15,Washington,DC,20007,14,0,8,2,3,1,1,1,Real Bed,139,2,925,2737,0,75,2,$40.00 ,3,1125,215,10/3/15,3,4/22/13,5/10/14,85,7,7,1,3,0,0,4,0.1
Beautiful Georgetown Townhouse,28563798,Colman,3/1/15,2015,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,6,3,3,3,Real Bed,650,6,0,0,0,80,1,$0.00 ,3,1125,75,10/3/15,0,0,0,0,0,0,1,3,0,0,1,0
Lovely street in Georgetown,8008783,Cliff,8/7/13,2013,4,1,30,30,0,1,48,Washington,DC,20007,14,0,8,1,8,3,3,3,Real Bed,550,6,3800,13000,0,220,6,$5.00 ,3,1125,318,10/3/15,11,4/29/14,9/8/15,94,10,9,1,3,0,0,27,0.63
Beautiful 1br. in Georgetown/Dupont,35734050,Sebastián,6/13/15,2015,0,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,2,1,1,2,Real Bed,115,2,780,0,0,60,1,$0.00 ,5,1125,80,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Georgetown Home Available,44352964,Ward,9/16/15,2015,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,6,3.5,4,4,Real Bed,500,5,0,0,0,0,1,$0.00 ,1,5,88,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Private room in elegant Georgetown,17742169,Bruno,7/7/14,2014,4,0,3,3,0,1,48,Washington,DC,20007,14,0,8,2,2,1,1,1,Real Bed,155,3,980,2900,800,60,1,$30.00 ,3,1125,334,10/2/15,10,8/20/14,9/21/15,100,10,10,1,3,0,0,2,0.73
Studio near Georgetown Waterfront 1,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,178,3,0,3738,0,0,1,$0.00 ,1,1125,347,10/2/15,4,9/12/15,9/21/15,90,7,9,0,1,0,0,16,4
Independant studio in elegant GTown,17742169,Bruno,7/7/14,2014,3,0,3,3,0,1,48,Washington,DC,20007,14,0,8,1,2,1,1,1,Real Bed,155,3,980,2900,800,60,1,$30.00 ,3,1125,352,10/2/15,5,3/2/15,8/31/15,96,10,10,1,3,0,0,2,0.69
1 BD apartment in Georgetown,22461157,Mercedes,10/12/14,2014,4,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,3,1,1,2,Real Bed,155,3,0,0,0,75,2,$50.00 ,3,365,341,10/2/15,27,11/5/14,9/28/15,94,10,10,1,1,0,0,1,2.43
Georgetown Penthouse,14414787,Bola,4/17/14,2014,4,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,5,1,1,1,Real Bed,99,2,700,2800,0,100,1,$50.00 ,1,365,13,10/2/15,10,2/14/15,9/18/15,89,9,10,1,3,0,0,1,1.29
Charming basement apt in Georgetown,34456650,Lee,5/28/15,2015,3,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,165,3,1100,4000,0,0,1,$0.00 ,3,1125,365,10/2/15,1,6/12/15,6/12/15,100,8,10,1,2,0,0,1,0.26
2 bedroom townhouse in Georgetown,13817352,Pam,4/2/14,2014,2,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,5,2.5,2,4,Real Bed,375,5,0,5250,500,0,3,$15.00 ,2,1125,336,10/2/15,2,6/15/14,5/1/15,80,7,9,1,1,0,0,16,0.13
Spacious one bedroom in Georgetown,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,4,1,1,2,Real Bed,175,3,0,4000,0,0,2,$15.00 ,1,1125,350,10/2/15,7,10/26/14,9/27/15,91,9,9,1,1,0,0,16,0.61
Garden bedroom in Georgetown!,2935817,Kirby,7/14/12,2012,4,1,4,4,0,1,15,Washington,DC,20007,14,0,8,2,1,1,1,1,Real Bed,60,2,405,1300,0,10,1,$0.00 ,10,1125,314,10/2/15,5,6/2/14,9/30/15,100,10,8,1,3,0,0,4,0.31
Airy modern Georgetown basement,16906608,Zoe,6/17/14,2014,2,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,120,2,0,2100,1000,30,1,$20.00 ,1,1125,291,10/2/15,23,10/4/14,3/19/15,92,9,9,1,2,0,0,1,1.89
One bedroom penthouse in Georgetown,13817352,Pam,4/2/14,2014,2,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,300,4,0,5000,0,0,1,$0.00 ,2,1125,354,10/2/15,7,6/12/14,5/3/15,89,9,9,1,1,0,0,16,0.44
Steps from the Waterfront Park,39168534,Vlatka,7/21/15,2015,4,1,1,1,0,1,48,Washington,DC,20007,14,0,11,2,2,1.5,1,1,Real Bed,130,2,0,0,0,0,1,$0.00 ,1,1125,301,10/2/15,12,7/28/15,9/29/15,100,10,10,1,1,0,0,1,5.29
Georgetown 1br penthouse with Patio,13817352,Pam,4/2/14,2014,2,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,300,4,0,5000,0,0,1,$0.00 ,2,1125,351,10/2/15,1,5/14/15,5/14/15,100,10,10,1,1,0,0,16,0.21
"Sunny, Clean Apartment",26999861,Amanda,1/31/15,2015,0,1,1,1,1,1,15,Washington,DC,20007,14,1,1,1,2,1,1,1,Real Bed,100,2,575,0,0,0,1,$0.00 ,3,14,224,10/2/15,0,0,0,0,0,0,0,1,0,0,1,0
"Beautiful Bright Studio, Georgetown",10855008,Laura,12/27/13,2013,0,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,120,2,0,0,0,0,1,$0.00 ,1,1125,339,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Historic Georgetown townhouse,24595940,Betsy,12/7/14,2014,3,1,1,1,0,1,48,Washington,DC,20007,14,0,8,1,3,1,2,2,Real Bed,325,4,0,4500,0,20,2,$200.00 ,3,30,275,10/3/15,17,3/22/15,6/22/15,91,9,9,1,1,0,0,1,2.6
Historic English Basement Apartment,27550391,Michael,2/10/15,2015,2,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,180,3,1000,3000,0,0,1,$0.00 ,1,1125,185,10/2/15,2,5/20/15,5/24/15,100,10,10,1,1,0,0,1,0.44
Georgetown East Village,42069648,Ramona,8/20/15,2015,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,4,3.5,4,4,Real Bed,350,4,2450,6600,350,200,4,$0.00 ,1,1125,350,10/2/15,0,0,0,0,0,0,1,3,0,0,1,0
"Stylish room, heart of Georgetown!",11133,Dimi,3/23/09,2009,3,0,2,2,0,1,48,Washington,DC,20007,14,0,1,2,2,1,1,1,Real Bed,70,2,795,2162,299,29,1,$19.00 ,1,27,0,10/2/15,4,5/31/15,8/21/15,95,9,9,0,3,0,0,2,0.95
Steps from everything in Georgetown,592752,Gregory,5/16/11,2011,4,1,1,1,0,1,48,Washington,DC,20007,14,0,8,2,2,1,1,1,Real Bed,85,2,500,0,0,0,2,$75.00 ,1,1125,319,10/2/15,6,9/13/15,10/2/15,97,10,10,1,2,0,0,1,6
Walk to Georgetown + Parking,13434994,Rhonda,3/23/14,2014,0,1,2,2,0,1,15,Washington,DC,20007,14,0,8,1,3,1.5,2,2,Real Bed,225,3,1500,6500,500,125,3,$50.00 ,2,30,343,10/2/15,0,0,0,0,0,0,1,3,0,0,1,0
3 bed/2 ba Gtown Rowhouse W/HotTub!,5828131,Db,4/8/13,2013,1,1,5,5,0,1,15,Washington,DC,20007,14,0,11,1,6,2,3,3,Real Bed,474,5,0,0,1000,120,1,$0.00 ,7,29,273,10/2/15,1,1/16/15,1/16/15,100,10,10,1,3,0,0,1,0.11
Georgetown - Clean Apartement,44438145,Charles,9/17/15,2015,4,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,4,1,1,2,Real Bed,110,2,0,0,500,0,1,$0.00 ,1,1125,352,10/2/15,1,9/23/15,9/23/15,100,10,10,0,2,0,0,1,1
Georgetown Waterfront Home,33054171,Rahul,5/10/15,2015,4,1,1,1,0,1,48,Washington,DC,20007,14,0,1,2,2,1,1,1,Real Bed,109,2,500,1650,0,0,1,$0.00 ,1,7,154,10/2/15,3,9/2/15,9/24/15,100,10,10,1,1,0,0,1,2.81
2 BD Row House in Georgetown,15218856,Brian,5/7/14,2014,3,1,1,1,0,1,48,Washington,DC,20007,14,0,8,1,4,1.5,2,2,Real Bed,300,4,0,0,1000,0,1,$0.00 ,4,1125,303,10/2/15,2,8/10/15,8/18/15,100,10,10,0,1,0,0,1,1.09
Georgetown Elegance -  3BR 3.5BA,17633,Charlotte,5/18/09,2009,3,1,32,32,0,1,48,Washington,DC,20007,14,0,8,1,6,3.5,3,4,Real Bed,775,6,4900,12000,2000,250,1,$0.00 ,4,93,264,10/2/15,1,7/16/15,7/16/15,100,10,10,1,3,0,1,29,0.37
Classic Georgetown 1BR/1BA sleeps 4,13223893,Laura,3/17/14,2014,2,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,4,1,1,2,Real Bed,140,2,0,0,0,100,2,$45.00 ,2,7,307,10/2/15,11,5/20/14,5/18/15,98,10,10,1,2,0,0,1,0.66
Historic Georgetown Row House,13356065,Emily,3/20/14,2014,4,1,1,1,0,1,48,Washington,DC,20007,14,0,8,1,6,3.5,3,3,Real Bed,595,6,0,0,1000,200,6,$0.00 ,7,1125,353,10/2/15,4,7/14/14,9/1/15,100,10,10,1,3,0,0,1,0.27
Cozy home in historic Georgetown,27323824,Rasheid,2/6/15,2015,4,1,4,4,0,1,48,Washington,DC,20007,14,0,8,1,5,1,2,5,Real Bed,249,3,0,0,250,99,4,$10.00 ,1,30,333,10/2/15,7,8/14/15,9/25/15,100,10,10,1,3,0,0,4,4.12
Gated complex directly off M Street,11073073,Dan,1/6/14,2014,0,1,1,1,0,1,48,Washington,DC,20007,14,0,8,2,2,1,1,1,Real Bed,110,2,0,0,100,0,1,$0.00 ,1,1125,32,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Basement bedroom in Georgetown!,2935817,Kirby,7/14/12,2012,3,1,4,4,0,1,15,Washington,DC,20007,14,0,8,2,1,1,1,1,Real Bed,60,2,405,1400,0,10,1,$0.00 ,25,1125,314,10/2/15,1,6/1/15,6/1/15,100,10,10,1,3,0,0,4,0.24
Georgetown Eton 2level 2BR Townhome,17633,Charlotte,5/18/09,2009,3,1,32,32,0,1,48,Washington,DC,20007,14,0,8,1,4,1,2,3,Real Bed,201,3,1196,4011,100,75,3,$10.00 ,2,90,0,10/3/15,11,2/2/15,8/15/15,93,9,9,1,3,0,1,29,1.35
Georgetown Condo. Prime Location.#4,41047431,William,8/10/15,2015,0,1,6,6,0,1,48,Washington,DC,20007,14,0,1,1,1,1,0,1,Real Bed,95,2,0,2850,0,50,1,$0.00 ,5,1125,336,10/2/15,0,0,0,0,0,0,1,1,0,0,6,0
Georgetown Townhouse,2631976,Gonzalo,6/13/12,2012,4,0,1,1,0,1,48,Washington,DC,20007,14,0,8,1,7,2.5,4,4,Real Bed,975,6,6000,0,750,180,7,$100.00 ,2,1125,317,10/2/15,11,11/19/14,9/5/15,100,10,10,1,3,0,0,1,1.03
Secret Garden in Georgetown,17870075,Constance,7/9/14,2014,3,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,179,3,0,0,0,35,2,$40.00 ,2,1125,179,10/3/15,6,8/1/14,8/31/15,100,10,10,1,2,0,0,1,0.42
Idlyic Georgetown Townhouse B&B,1436380,Angela,11/23/11,2011,3,1,1,1,0,1,15,Washington,DC,20007,14,0,8,2,1,1.5,1,1,Real Bed,125,2,900,0,200,100,1,$0.00 ,3,21,356,10/3/15,10,4/4/12,7/31/15,98,9,10,1,3,1,1,1,0.23
Charm and Convenience in Georgetown,5783249,Lisa And Richard,4/5/13,2013,4,1,2,2,0,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,120,2,0,0,0,75,1,$0.00 ,2,1125,333,10/3/15,8,7/30/15,9/25/15,80,8,9,1,1,0,0,1,3.64
Georgetown Apt in Prime Location,16245881,Mitchell,6/1/14,2014,3,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,4,1,1,2,Real Bed,200,3,0,0,300,70,0,$0.00 ,2,1125,358,10/3/15,11,6/20/14,8/31/15,96,10,10,1,2,0,0,1,0.7
Georgetown Flat off Wisconsin Ave,21493494,Jordan,9/18/14,2014,4,1,2,2,0,1,48,Washington,DC,20007,14,0,1,1,4,1,1,2,Real Bed,129,2,799,2950,250,50,3,$15.00 ,2,90,317,10/3/15,7,7/27/15,9/27/15,91,9,9,1,2,0,0,2,3.04
Historic Georgetown Rowhome!,37014,Lara & Alex,9/8/09,2009,4,1,25,25,0,1,48,Washington,DC,20007,14,0,8,1,6,1.5,2,3,Real Bed,225,3,0,0,500,125,4,$20.00 ,3,90,330,10/3/15,4,7/6/15,9/29/15,100,10,10,1,3,0,0,22,1.33
Studio in heart of Georgetown,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,185,3,0,3750,0,0,1,$0.00 ,1,1125,328,10/3/15,4,9/13/15,9/27/15,90,10,10,1,1,0,0,16,4
Georgetown's Chateau Bleu - 2lv hse,1671809,Mary Beth,1/30/12,2012,3,1,7,7,0,1,15,Washington,DC,20007,14,0,8,1,4,1,2,3,Real Bed,299,4,1890,3995,0,130,4,$75.00 ,3,365,215,10/3/15,4,6/15/13,6/14/14,86,7,8,1,3,0,0,4,0.14
Lovely upstairs room in Georgetown!,2935817,Kirby,7/14/12,2012,4,1,4,4,0,1,15,Washington,DC,20007,14,0,8,2,1,1,1,1,Real Bed,65,2,425,1550,0,10,1,$0.00 ,7,1125,329,10/3/15,21,8/3/13,9/28/15,91,9,9,1,3,0,0,4,0.8
Beautiful 3BR 2BA Home - Georgetown,44461566,Eric,9/17/15,2015,0,1,1,1,0,1,48,Washington,DC,20007,14,0,8,1,4,2,3,3,Real Bed,600,6,0,0,0,0,1,$0.00 ,2,1125,216,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Lovely Waterfront Georgetown Home,12895832,New,3/7/14,2014,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,4,1.5,2,2,Real Bed,375,5,0,0,0,0,1,$0.00 ,1,1125,357,10/3/15,0,0,0,0,0,0,1,2,0,0,1,0
Studio near Georgetown Waterfront 2,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,2,1,0,1,Real Bed,122,2,726,2562,0,0,1,$0.00 ,2,1125,318,10/3/15,5,9/15/15,9/29/15,88,9,9,0,1,0,0,16,5
"TH Apt w Parking, Fireplace & Patio",21178631,John,9/10/14,2014,0,1,3,3,0,1,48,Washington,DC,20007,14,0,1,1,3,1,1,1,Real Bed,300,4,1500,4000,500,150,1,$0.00 ,3,1125,275,10/3/15,0,0,0,0,0,0,1,3,0,0,2,0
Comfy Studio between Dupont & Gtown,1934725,Mónica,3/16/12,2012,3,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,100,2,650,1500,400,50,1,$0.00 ,2,90,195,10/3/15,11,6/9/13,8/11/15,98,9,9,1,2,1,1,1,0.39
Spacious Georgetown Penthouse 3br,13817352,Pam,4/2/14,2014,3,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,6,3.5,3,4,Real Bed,569,6,2428,6000,1000,0,4,$15.00 ,7,1125,301,10/3/15,10,1/13/15,8/17/15,92,9,10,1,2,0,0,16,1.14
You'll LOVE my place! Rosslyn Condo,3202819,Shahrzad,8/9/12,2012,4,1,1,1,1,1,48,Arlington,VA,22209,4,0,1,1,3,1,1,1,Real Bed,175,3,0,0,300,80,3,$0.00 ,1,5,163,10/3/15,63,9/30/12,10/1/15,93,10,10,1,3,1,1,1,1.72
English Basement in Georgetown,2374185,Amapola,5/14/12,2012,4,1,1,1,0,1,15,Washington,DC,20007,14,0,1,1,3,1,1,1,Real Bed,105,2,610,2000,350,50,1,$0.00 ,2,1125,230,10/3/15,1,9/1/15,9/1/15,100,10,10,1,1,0,0,1,0.91
SUPER Rowhouse ! ; don't miss it!,22801633,Natascha,10/21/14,2014,4,1,5,5,0,1,48,Washington,DC,20007,14,0,8,1,4,1,2,1,Real Bed,220,3,0,0,1000,60,2,$30.00 ,4,1125,151,10/3/15,17,4/20/15,9/2/15,95,9,10,0,3,0,0,2,3.05
Room in the heart of Georgetown!,11133,Dimi,3/23/09,2009,3,0,2,2,0,1,48,Washington,DC,20007,14,0,1,2,2,1,1,1,Real Bed,78,2,1000,2500,299,29,1,$19.00 ,1,27,31,10/3/15,7,5/16/15,6/5/15,94,10,9,0,3,0,0,2,1.49
Georgetown One bedroom,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,4,1.5,1,2,Real Bed,198,3,0,4000,0,0,2,$13.00 ,1,1125,341,10/3/15,14,4/26/15,9/28/15,94,10,10,1,1,0,0,16,2.61
1BR in Georgetown's East Village,1123202,Shannon,9/7/11,2011,0,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,1,1,1,1,Real Bed,110,2,750,1750,0,0,1,$0.00 ,7,1125,0,10/3/15,0,0,0,0,0,0,1,3,0,0,1,0
Georgetown 1 bedroom w Jacuzzi tub,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,3,1,1,2,Real Bed,195,3,0,2877,0,0,2,$15.00 ,2,1125,338,10/3/15,9,2/15/15,9/28/15,89,8,9,1,1,0,0,16,1.17
Perfect Georgetown Location,179243,Tina,7/24/10,2010,3,1,1,1,0,1,48,Washington,DC,20007,14,0,6,1,6,2,3,3,Real Bed,249,3,1673,4956,0,99,1,$0.00 ,2,20,158,10/3/15,3,7/15/15,7/29/15,100,10,10,1,1,0,0,1,1.11
One bedroom in heart of Georgetown,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,5,1,1,2,Real Bed,161,3,958,3381,0,0,3,$15.00 ,1,1125,344,10/3/15,5,9/17/15,9/26/15,92,10,10,1,1,0,0,16,5
Beautiful Room in Georgetown,2564662,Ramon,6/6/12,2012,3,1,2,2,0,1,15,Washington,DC,20007,14,0,8,2,2,1.5,1,1,Real Bed,135,2,0,0,125,75,1,$10.00 ,2,1125,351,10/3/15,2,5/1/14,7/29/15,100,9,9,1,2,0,0,2,0.12
Garden of Eton | Georgetown,19244996,Steven,7/31/14,2014,4,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,2,1,1,Real Bed,185,3,1050,0,0,0,1,$0.00 ,1,1125,71,10/3/15,15,8/18/14,9/24/15,100,10,10,1,2,0,0,1,1.09
Quiet Private Bedroom/Bathroom,14519258,Rebecca,4/20/14,2014,4,1,1,1,0,1,48,Washington,DC,20007,14,0,1,2,3,1,1,1,Real Bed,104,2,0,0,0,0,1,$0.00 ,1,1125,352,10/3/15,10,8/21/15,9/25/15,75,8,6,1,1,0,0,1,6.82
"1) Bright, Peaceful Georgetown Room",23569717,Eric,11/10/14,2014,3,1,2,2,0,1,15,Washington,DC,20007,14,0,8,2,1,1,1,1,Real Bed,75,2,450,1250,0,15,1,$15.00 ,3,120,315,10/3/15,7,11/17/14,8/24/15,100,10,10,1,3,0,0,2,0.65
Georgetown's Chateau Bleu - Prv Rm1,1671809,Mary Beth,1/30/12,2012,4,1,7,7,0,1,15,Washington,DC,20007,14,0,8,2,3,1,1,2,Real Bed,139,2,925,2737,0,75,2,$40.00 ,3,300,215,10/3/15,16,7/28/12,10/28/13,97,9,10,1,3,0,0,4,0.41
Beautiful Georgetown House w Patio,2564662,Ramon,6/6/12,2012,3,1,2,2,0,1,15,Washington,DC,20007,14,0,8,1,6,1.5,2,2,Real Bed,350,4,2200,6000,300,100,4,$25.00 ,2,1125,355,10/3/15,29,4/16/14,7/29/15,94,10,9,1,3,0,0,2,1.62
Georgetown Townhouse Full of Light,22734450,Benoit,10/19/14,2014,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,3,1.5,2,2,Real Bed,239,3,1549,0,0,60,1,$0.00 ,1,1125,78,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Two bedroom townhouse in Georgetown,13817352,Pam,4/2/14,2014,4,1,16,16,1,1,48,Washington,DC,20007,14,0,1,1,5,2.5,2,3,Real Bed,450,5,0,5200,500,0,3,$15.00 ,2,1125,341,10/3/15,2,8/5/14,11/30/14,80,8,9,1,1,0,0,16,0.14
Georgetown's Chateau Bleu - BsmtApt,1671809,Mary Beth,1/30/12,2012,3,1,7,7,0,1,15,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,129,2,0,2000,0,105,2,$40.00 ,3,1125,296,10/3/15,2,5/19/14,8/24/15,60,6,5,1,3,0,0,4,0.12
Georgetown 2 BR Apartment,38084739,Caesar,7/10/15,2015,4,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,1,2,2,Real Bed,100,2,600,2800,0,0,1,$0.00 ,1,1125,51,10/3/15,12,8/23/15,9/26/15,98,10,9,1,1,0,0,1,8.57
Georgetown Townhome,38201137,Boris,7/11/15,2015,0,1,1,1,0,1,48,Washington,DC,20007,14,0,8,1,3,2.5,3,3,Real Bed,200,3,1000,2900,0,0,1,$0.00 ,1,1125,290,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Georgetown Basement Apartment,33868772,Nora,5/20/15,2015,3,1,1,1,1,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,130,2,750,2700,0,15,1,$0.00 ,3,1125,109,10/3/15,4,5/30/15,6/27/15,80,9,9,1,1,0,0,1,0.94
Large Beautiful Home right on VOLTA,21421893,Gilbert,9/16/14,2014,0,1,1,1,1,1,48,Washington,DC,20007,14,0,8,1,4,1.5,3,3,Real Bed,450,5,0,0,0,0,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Georgetown! Top of the Hill!,8008783,Cliff,8/7/13,2013,3,1,30,30,0,1,48,Washington,DC,20007,14,0,8,1,6,3,2,4,Real Bed,475,5,0,0,0,220,1,$0.00 ,3,1125,257,10/3/15,3,7/24/15,8/30/15,80,9,9,1,3,0,0,27,1.25
Georgetown Condo. Prime Location.#3,41047431,William,8/10/15,2015,0,1,6,6,0,1,48,Washington,DC,20007,14,0,1,1,1,1,0,1,Real Bed,95,2,0,2850,0,50,1,$0.00 ,5,1125,258,10/2/15,0,0,0,0,0,0,1,1,0,0,6,0
Georgetown Condo. Prime Location.#2,41047431,William,8/10/15,2015,0,1,6,6,0,1,48,Washington,DC,20007,14,0,1,1,1,1,0,1,Real Bed,95,2,0,2850,0,50,1,$0.00 ,5,1125,360,10/2/15,0,0,0,0,0,0,1,1,0,0,6,0
Modern Georgetown Apartment,21178631,John,9/10/14,2014,0,1,3,3,0,1,48,Washington,DC,20007,14,0,1,1,4,2,2,2,Real Bed,450,5,2500,6000,500,180,1,$0.00 ,3,1125,281,10/3/15,0,0,0,0,0,0,1,3,0,0,2,0
Georgetown Apt w/ the Meow?,18088273,Zoya,7/14/14,2014,3,1,1,1,0,1,48,Washington,DC,20007,14,0,1,1,2,1,1,1,Real Bed,90,2,500,0,100,0,1,$0.00 ,3,1125,276,10/3/15,2,7/6/15,8/5/15,90,9,10,1,1,0,0,1,0.67
